,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1,439692,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1994,,,,,,,,,3.18,,,,,2013-06-11T14:04:28.647+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
2,439774,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1995,,,,,,,,,2.52,,,,,2013-06-11T14:04:28.647+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
3,439827,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1971,,,,,,,,,15.9,,,,,2013-06-11T14:04:28.647+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
4,439868,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1972,,,,,,,,,0,,,,,2013-06-11T14:04:28.647+02:00,1972,1972-01-01T00:00:00+01:00,1972-12-31T00:00:00+01:00
5,439938,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1974,,,,,,,,,4.98,,,,,2013-06-11T14:04:28.647+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
6,439974,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1975,,,,,,,,,6.77,,,,,2013-06-11T14:04:28.647+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
7,440009,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1976,,,,,,,,,4.34,,,,,2013-06-11T14:04:28.647+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
8,440046,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1977,,,,,,,,,0,,,,,2013-06-11T14:04:28.647+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
9,440088,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1978,,,,,,,,,2.53,,,,,2013-06-11T14:04:28.647+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
10,440132,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1979,,,,,,,,,0.19,,,,,2013-06-11T14:04:28.647+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
11,440175,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1980,,,,,,,,,1.5,,,,,2013-06-11T14:04:28.647+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
12,440211,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1983,,,,,,,,,5.05,,,,,2013-06-11T14:04:28.647+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
13,440244,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1984,,,,,,,,,0,,,,,2013-06-11T14:04:28.647+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
14,440275,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1987,,,,,,,,,4.71,,,,,2013-06-11T14:04:28.647+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
15,440340,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1989,,,,,,,,,3.49,,,,,2013-06-11T14:04:28.647+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
16,440427,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1992,,,,,,,,,2.95,,,,,2013-06-11T14:04:28.647+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
17,440551,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1996,,,,,,,,,2.9,,,,,2013-06-11T14:04:28.647+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
18,440612,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1981,,,,,,,,,4.46,,,,,2013-06-11T14:04:28.647+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
19,440652,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1982,,,,,,,,,2.6,,,,,2013-06-11T14:04:28.647+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
20,440685,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1985,,,,,,,,,7.54,,,,,2013-06-11T14:04:28.647+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
21,440873,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1986,,,,,,,,,5.36,,,,,2013-06-11T14:04:28.647+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
22,440921,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2009,,,,,,,,,2.31,,,,,2013-06-11T14:04:28.647+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
23,440973,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2008,,,,,,,,,3.66,,,,,2013-06-11T14:04:28.647+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
24,441021,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2007,,,,,,,,,5.56,,,,,2013-06-11T14:04:28.647+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
25,441084,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2006,,,,,,,,,1.26,,,,,2013-06-11T14:04:28.647+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
26,441154,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2005,,,,,,,,,2.57,,,,,2013-06-11T14:04:28.647+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
27,441217,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2004,,,,,,,,,1.72,,,,,2013-06-11T14:04:28.647+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
28,441279,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1997,,,,,,,,,3.23,,,,,2013-06-11T14:04:28.647+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
29,441347,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1998,,,,,,,,,5.51,,,,,2013-06-11T14:04:28.647+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
30,441407,CHOLERA_0000000003,COUNTRY,KEN,YEAR,1999,,,,,,,,,3.17,,,,,2013-06-11T14:04:28.647+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
31,441463,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2000,,,,,,,,,6.74,,,,,2013-06-11T14:04:28.647+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
32,441508,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2001,,,,,,,,,5.49,,,,,2013-06-11T14:04:28.647+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
33,441547,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2002,,,,,,,,,3.44,,,,,2013-06-11T14:04:28.647+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
34,441633,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2010,,,,,,,,,1.98,,,,,2013-06-11T14:04:28.647+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
35,441663,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2011,,,,,,,,,2.7,,,,,2013-06-11T14:04:28.647+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
36,11697544,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2014,,,,,,,,,25.7,25.71429,,,,2015-10-02T09:48:01.047+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
37,14884858,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2015,,,,,,,,,0.5,0.5,,,,2016-09-20T08:46:14.227+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
38,15883887,CHOLERA_0000000003,COUNTRY,KEN,YEAR,2016,,,,,,,,,1.4,1.36379,,,,2017-08-23T09:37:24.143+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
